measure,location,sex,age,rei,year,val
YLDs (Years Lived with Disability),New Mexico,Female,60-64 years,Diet low in whole grains,1993,52.69715451
YLDs (Years Lived with Disability),New Mexico,Female,25-29 years,Diet high in red meat,1993,3.548615214
YLDs (Years Lived with Disability),New York,Female,65-69 years,Diet high in sugar-sweetened beverages,1993,92.84353923
YLDs (Years Lived with Disability),North Dakota,Female,85-89 years,Diet low in fiber,1993,19.7574495
YLDs (Years Lived with Disability),Ohio,Male,60-64 years,Diet high in red meat,1993,153.8308731
YLDs (Years Lived with Disability),Ohio,Male,80-84 years,Diet low in fiber,1993,24.02971023
YLDs (Years Lived with Disability),Ohio,Male,70-74 years,Diet low in whole grains,1993,94.3976803
YLDs (Years Lived with Disability),Oklahoma,Female,75-79 years,Diet high in sugar-sweetened beverages,1993,84.48886879
YLDs (Years Lived with Disability),Oregon,Female,95+ years,Diet low in fruits,1993,23.64065489
YLDs (Years Lived with Disability),Oregon,Male,95+ years,Diet low in whole grains,1993,62.23082827
YLDs (Years Lived with Disability),Oregon,Male,85-89 years,Diet low in vegetables,1993,1.715948302
YLDs (Years Lived with Disability),Pennsylvania,Female,65-69 years,Diet low in vegetables,1993,1.528592985
YLDs (Years Lived with Disability),Pennsylvania,Female,50-54 years,Diet low in fiber,1993,6.493394812
YLDs (Years Lived with Disability),South Carolina,Male,45-49 years,Diet low in vegetables,1993,0.70016274
YLDs (Years Lived with Disability),South Dakota,Female,80-84 years,Diet high in processed meat,1993,198.3555074
YLDs (Years Lived with Disability),South Dakota,Male,90-94 years,Diet low in vegetables,1993,2.188924772
YLDs (Years Lived with Disability),Tennessee,Female,65-69 years,Diet low in whole grains,1993,57.60716942
YLDs (Years Lived with Disability),Tennessee,Female,70-74 years,Diet high in red meat,1993,126.4149231
YLDs (Years Lived with Disability),Tennessee,Male,60-64 years,Diet low in fiber,1993,16.99548774
YLDs (Years Lived with Disability),Texas,Female,50-54 years,Diet low in fiber,1993,7.432529033
YLDs (Years Lived with Disability),Utah,Female,80-84 years,Diet high in red meat,1993,104.0492045
YLDs (Years Lived with Disability),Utah,Female,30-34 years,Diet low in whole grains,1993,3.248248348
YLDs (Years Lived with Disability),Utah,Male,30-34 years,Diet low in whole grains,1993,3.630370934
YLDs (Years Lived with Disability),Utah,Male,95+ years,Diet high in red meat,1993,76.68929888
YLDs (Years Lived with Disability),Vermont,Female,25-29 years,Diet high in processed meat,1993,5.413259517
YLDs (Years Lived with Disability),Virginia,Male,30-34 years,Diet low in fruits,1993,2.152420276
YLDs (Years Lived with Disability),Washington,Female,25-29 years,Diet high in processed meat,1993,4.977946118
YLDs (Years Lived with Disability),Wyoming,Male,45-49 years,Diet high in processed meat,1993,74.5690991
YLDs (Years Lived with Disability),Wyoming,Female,30-34 years,Diet high in red meat,1993,4.538348465
YLDs (Years Lived with Disability),Alabama,Male,90-94 years,Diet low in fiber,1994,29.62002864
YLDs (Years Lived with Disability),Alaska,Male,35-39 years,Diet low in fruits,1994,4.565461982
YLDs (Years Lived with Disability),Alaska,Female,70-74 years,Diet high in sugar-sweetened beverages,1994,124.1367439
YLDs (Years Lived with Disability),Alaska,Female,25-29 years,Diet high in red meat,1994,3.386389896
YLDs (Years Lived with Disability),Arizona,Female,80-84 years,Diet high in sugar-sweetened beverages,1994,66.39082117
YLDs (Years Lived with Disability),Arizona,Male,75-79 years,Diet low in fiber,1994,20.44599683
YLDs (Years Lived with Disability),Arkansas,Female,70-74 years,Diet high in processed meat,1994,248.4136099
YLDs (Years Lived with Disability),California,Male,95+ years,Diet low in vegetables,1994,1.061829717
YLDs (Years Lived with Disability),Colorado,Male,70-74 years,Diet low in fruits,1994,28.41292741
YLDs (Years Lived with Disability),Colorado,Male,85-89 years,Diet high in red meat,1994,106.8490903
YLDs (Years Lived with Disability),Colorado,Female,80-84 years,Diet low in vegetables,1994,1.279888839
YLDs (Years Lived with Disability),Connecticut,Male,50-54 years,Diet low in fiber,1994,6.626293576
YLDs (Years Lived with Disability),Connecticut,Female,95+ years,Diet high in sugar-sweetened beverages,1994,41.50031995
YLDs (Years Lived with Disability),Connecticut,Male,40-44 years,Diet low in whole grains,1994,11.78909953
YLDs (Years Lived with Disability),Delaware,Female,60-64 years,Diet high in processed meat,1994,250.3664674
YLDs (Years Lived with Disability),Delaware,Male,40-44 years,Diet high in sugar-sweetened beverages,1994,28.80880091
YLDs (Years Lived with Disability),Delaware,Female,75-79 years,Diet low in fiber,1994,18.10236363
YLDs (Years Lived with Disability),Delaware,Male,55-59 years,Diet low in vegetables,1994,1.88234506
YLDs (Years Lived with Disability),District of Columbia,Male,50-54 years,Diet high in sugar-sweetened beverages,1994,89.54541297
YLDs (Years Lived with Disability),Florida,Male,45-49 years,Diet high in sugar-sweetened beverages,1994,48.24724871
YLDs (Years Lived with Disability),Georgia,Male,35-39 years,Diet low in fiber,1994,2.122858315
YLDs (Years Lived with Disability),Georgia,Female,45-49 years,Diet low in whole grains,1994,20.25346761
YLDs (Years Lived with Disability),Hawaii,Male,30-34 years,Diet low in whole grains,1994,4.333095357
YLDs (Years Lived with Disability),Hawaii,Female,30-34 years,Diet low in fiber,1994,0.936698681
YLDs (Years Lived with Disability),Hawaii,Female,95+ years,Diet low in fruits,1994,26.46372307
YLDs (Years Lived with Disability),Hawaii,Male,45-49 years,Diet low in fruits,1994,14.53133737
YLDs (Years Lived with Disability),Idaho,Female,50-54 years,Diet low in fiber,1994,6.408629783
YLDs (Years Lived with Disability),Idaho,Male,40-44 years,Diet high in sugar-sweetened beverages,1994,19.85313071
YLDs (Years Lived with Disability),Idaho,Female,35-39 years,Diet high in sugar-sweetened beverages,1994,11.38291594
YLDs (Years Lived with Disability),Indiana,Female,60-64 years,Diet low in fiber,1994,12.73726442
YLDs (Years Lived with Disability),Indiana,Male,45-49 years,Diet high in red meat,1994,52.07271861
YLDs (Years Lived with Disability),Iowa,Female,35-39 years,Diet low in vegetables,1994,0.115360526
YLDs (Years Lived with Disability),Iowa,Male,90-94 years,Diet high in processed meat,1994,239.5508075
YLDs (Years Lived with Disability),Kansas,Male,60-64 years,Diet high in sugar-sweetened beverages,1994,110.2093625
YLDs (Years Lived with Disability),Kansas,Female,45-49 years,Diet high in red meat,1994,37.37714419
YLDs (Years Lived with Disability),Kentucky,Male,50-54 years,Diet low in whole grains,1994,54.99188654
YLDs (Years Lived with Disability),Kentucky,Female,75-79 years,Diet high in processed meat,1994,294.5615388
YLDs (Years Lived with Disability),Kentucky,Female,30-34 years,Diet low in fiber,1994,1.003830902
YLDs (Years Lived with Disability),Kentucky,Male,25-29 years,Diet high in red meat,1994,2.172257247
YLDs (Years Lived with Disability),Louisiana,Female,65-69 years,Diet low in whole grains,1994,69.77556546
YLDs (Years Lived with Disability),Louisiana,Female,55-59 years,Diet low in fruits,1994,33.05607253
YLDs (Years Lived with Disability),Michigan,Male,80-84 years,Diet low in whole grains,1994,83.41431909
YLDs (Years Lived with Disability),Mississippi,Male,65-69 years,Diet high in processed meat,1994,342.7666303
YLDs (Years Lived with Disability),Missouri,Female,40-44 years,Diet high in sugar-sweetened beverages,1994,20.9045621
YLDs (Years Lived with Disability),Montana,Female,70-74 years,Diet low in fiber,1994,15.46756223
YLDs (Years Lived with Disability),Montana,Female,85-89 years,Diet low in vegetables,1994,1.128811017
YLDs (Years Lived with Disability),Nebraska,Male,65-69 years,Diet low in whole grains,1994,87.42762835
YLDs (Years Lived with Disability),Nebraska,Male,85-89 years,Diet high in sugar-sweetened beverages,1994,68.55702181
YLDs (Years Lived with Disability),Nevada,Male,40-44 years,Diet low in fruits,1994,7.743591665
YLDs (Years Lived with Disability),Nevada,Male,80-84 years,Diet low in whole grains,1994,81.68218299
YLDs (Years Lived with Disability),Nevada,Female,75-79 years,Diet high in sugar-sweetened beverages,1994,102.2899807
YLDs (Years Lived with Disability),New Hampshire,Female,60-64 years,Diet low in fruits,1994,22.07625791
YLDs (Years Lived with Disability),New York,Male,95+ years,Diet high in sugar-sweetened beverages,1994,56.75959307
YLDs (Years Lived with Disability),Ohio,Female,80-84 years,Diet low in fiber,1994,20.5339181
YLDs (Years Lived with Disability),Ohio,Female,90-94 years,Diet low in fiber,1994,29.77882497
YLDs (Years Lived with Disability),Oklahoma,Male,55-59 years,Diet low in whole grains,1994,66.43091929
YLDs (Years Lived with Disability),Oregon,Female,85-89 years,Diet high in sugar-sweetened beverages,1994,44.5453352
YLDs (Years Lived with Disability),Oregon,Female,55-59 years,Diet low in fiber,1994,7.947783566
YLDs (Years Lived with Disability),Pennsylvania,Male,50-54 years,Diet low in fruits,1994,21.5111084
YLDs (Years Lived with Disability),Pennsylvania,Female,30-34 years,Diet low in fruits,1994,2.163666732
YLDs (Years Lived with Disability),Tennessee,Female,75-79 years,Diet low in vegetables,1994,1.922240834
YLDs (Years Lived with Disability),Tennessee,Female,65-69 years,Diet high in sugar-sweetened beverages,1994,103.6151943
YLDs (Years Lived with Disability),Utah,Female,70-74 years,Diet low in vegetables,1994,1.625250587
YLDs (Years Lived with Disability),Vermont,Male,60-64 years,Diet low in whole grains,1994,81.14187907
YLDs (Years Lived with Disability),Washington,Female,40-44 years,Diet low in fiber,1994,2.021550503
YLDs (Years Lived with Disability),Washington,Female,55-59 years,Diet low in fruits,1994,20.24858308
YLDs (Years Lived with Disability),West Virginia,Female,55-59 years,Diet low in fiber,1994,12.29457779
YLDs (Years Lived with Disability),West Virginia,Female,80-84 years,Diet high in sugar-sweetened beverages,1994,84.32440999
YLDs (Years Lived with Disability),Wyoming,Female,65-69 years,Diet high in sugar-sweetened beverages,1994,89.69884554
YLDs (Years Lived with Disability),Wyoming,Female,25-29 years,Diet low in whole grains,1994,1.523348219
YLDs (Years Lived with Disability),Alabama,Male,25-29 years,Diet high in sugar-sweetened beverages,1995,3.83500334
YLDs (Years Lived with Disability),Arizona,Male,50-54 years,Diet high in sugar-sweetened beverages,1995,72.880935
YLDs (Years Lived with Disability),Arkansas,Female,40-44 years,Diet high in processed meat,1995,42.13147734
YLDs (Years Lived with Disability),Arkansas,Male,65-69 years,Diet low in vegetables,1995,2.164058082
YLDs (Years Lived with Disability),Colorado,Female,75-79 years,Diet low in fruits,1995,31.17371631
YLDs (Years Lived with Disability),Colorado,Female,45-49 years,Diet high in processed meat,1995,50.69291867
YLDs (Years Lived with Disability),Connecticut,Female,55-59 years,Diet low in whole grains,1995,32.09523781
YLDs (Years Lived with Disability),Connecticut,Female,90-94 years,Diet low in whole grains,1995,41.55670613
YLDs (Years Lived with Disability),Connecticut,Male,30-34 years,Diet high in red meat,1995,5.397391298
YLDs (Years Lived with Disability),Delaware,Male,60-64 years,Diet low in vegetables,1995,2.636860068
YLDs (Years Lived with Disability),Delaware,Male,85-89 years,Diet high in sugar-sweetened beverages,1995,87.40220813
YLDs (Years Lived with Disability),District of Columbia,Female,65-69 years,Diet low in fruits,1995,12.52114677
YLDs (Years Lived with Disability),Florida,Male,45-49 years,Diet high in processed meat,1995,97.07660019
YLDs (Years Lived with Disability),Georgia,Female,60-64 years,Diet high in red meat,1995,118.3561495
YLDs (Years Lived with Disability),Georgia,Male,90-94 years,Diet high in sugar-sweetened beverages,1995,73.07657091
YLDs (Years Lived with Disability),Georgia,Male,85-89 years,Diet low in vegetables,1995,2.617160683
YLDs (Years Lived with Disability),Georgia,Female,60-64 years,Diet low in whole grains,1995,59.25865538
YLDs (Years Lived with Disability),Georgia,Male,75-79 years,Diet low in fiber,1995,22.63264689
YLDs (Years Lived with Disability),Hawaii,Female,90-94 years,Diet high in sugar-sweetened beverages,1995,59.33244069
YLDs (Years Lived with Disability),Hawaii,Male,85-89 years,Diet low in fiber,1995,17.21566415
YLDs (Years Lived with Disability),Idaho,Male,55-59 years,Diet low in fiber,1995,11.15027685
YLDs (Years Lived with Disability),Idaho,Female,60-64 years,Diet low in fiber,1995,11.32397871
YLDs (Years Lived with Disability),Idaho,Female,70-74 years,Diet low in vegetables,1995,1.631101898
YLDs (Years Lived with Disability),Illinois,Male,35-39 years,Diet low in whole grains,1995,7.597180526
YLDs (Years Lived with Disability),Illinois,Male,95+ years,Diet high in processed meat,1995,199.0782041
YLDs (Years Lived with Disability),Illinois,Female,90-94 years,Diet low in fiber,1995,25.96825997
YLDs (Years Lived with Disability),Illinois,Male,65-69 years,Diet high in sugar-sweetened beverages,1995,131.7318339
YLDs (Years Lived with Disability),Illinois,Male,80-84 years,Diet high in red meat,1995,126.9457706
YLDs (Years Lived with Disability),Illinois,Male,65-69 years,Diet high in processed meat,1995,318.6395411
YLDs (Years Lived with Disability),Indiana,Female,75-79 years,Diet low in whole grains,1995,67.42124854
YLDs (Years Lived with Disability),Indiana,Female,70-74 years,Diet high in processed meat,1995,288.2564685
YLDs (Years Lived with Disability),Iowa,Female,70-74 years,Diet low in fruits,1995,38.53008598
YLDs (Years Lived with Disability),Iowa,Male,95+ years,Diet high in red meat,1995,110.7128724
YLDs (Years Lived with Disability),Iowa,Male,90-94 years,Diet high in red meat,1995,108.0856787
YLDs (Years Lived with Disability),Kansas,Female,55-59 years,Diet low in fiber,1995,9.226945334
YLDs (Years Lived with Disability),Kansas,Male,85-89 years,Diet low in whole grains,1995,105.1527399
YLDs (Years Lived with Disability),Kansas,Female,90-94 years,Diet low in fiber,1995,27.82415235
YLDs (Years Lived with Disability),Kansas,Male,90-94 years,Diet high in processed meat,1995,235.2099328
YLDs (Years Lived with Disability),Kentucky,Male,80-84 years,Diet low in fruits,1995,83.83351418
YLDs (Years Lived with Disability),Louisiana,Male,25-29 years,Diet high in sugar-sweetened beverages,1995,3.934176104
YLDs (Years Lived with Disability),Maine,Male,75-79 years,Diet high in sugar-sweetened beverages,1995,118.2763254
YLDs (Years Lived with Disability),Maine,Male,60-64 years,Diet high in sugar-sweetened beverages,1995,124.1924466
YLDs (Years Lived with Disability),Maryland,Female,50-54 years,Diet high in red meat,1995,51.96360067
YLDs (Years Lived with Disability),Minnesota,Male,60-64 years,Diet high in sugar-sweetened beverages,1995,113.7860673
YLDs (Years Lived with Disability),Mississippi,Male,90-94 years,Diet low in fruits,1995,69.12259299
YLDs (Years Lived with Disability),Mississippi,Female,75-79 years,Diet high in sugar-sweetened beverages,1995,98.87206212
YLDs (Years Lived with Disability),Mississippi,Female,90-94 years,Diet high in sugar-sweetened beverages,1995,52.32904099
